20200508_SD_Ucpdd_K1;TX001;TX002;TX003;;;
;TSE LabMaster V6.3.3 (2017-3514);;;;;
Box;Animal No.; Weight [g];Genotype;Sex;Measurement;
546;30401338;26.2;Adipoq WT;male;Individual;
552;30296991;21.0;Adipoq WT;female;Individual;
551;30398600;22.8;Adipoq WT;female;Individual;
549;30262145;31.0;Adipoq WT;male;Individual;
550;30400692;20.9;Adipoq WT;female;Individual;
547;30302237;20.7;Adipoq WT;female;Individual;
548;30334547;29.7;Adipoq WT;male;Individual;
5;39;31.16;Adipoq KO;male;Individual;
2;24;29.88;Adipoq KO;male;Individual;
13;43;30.44;Adipoq KO;male;Individual;
0;38;33.51;Adipoq KO;male;Individual;
7;23;32.65;Adipoq KO;male;Individual;
1;42;30.04;Adipoq KO;male;Individual;
3;37;32.77;Adipoq KO;male;Individual;
;;;;;;
Date;Time;Animal No.;Box;VO2(3);VCO2(3);WeightBody
;;;;[ml/h];[ml/h];[g]
03/10/2015;16:35;24;male;69,23434;56,163063;29,88
03/10/2015;07:07;38;male;105,30706;101,98065;33,51
03/10/2015;10:37;43;male;131,95964;122,16105;30,44
03/10/2015;14:31;39;male;79,54477;75,9623;31,16
03/10/2015;04:07;24;male;69,22307;66,631584;29,88
03/10/2015;05:59;38;male;71,51659;69,35043;33,51
04/10/2015;05:35;23;male;90,71222;91,77202;32,65
04/10/2015;03:37;43;male;139,91809;138,2401;30,44
03/10/2015;07:09;39;male;92,00413;88,18339;31,16
03/10/2015;06:33;38;male;75,92246;72,986244;33,51
04/10/2015;01:13;37;male;97,33918;91,18412;32,77
04/10/2015;14:39;23;male;52,634853;50,48117;32,65
03/10/2015;09:55;37;male;93,545944;85,788086;32,77
03/10/2015;11:29;24;male;72,23735;65,73494;29,88
03/10/2015;18:17;24;male;80,97812;71,856995;29,88
04/10/2015;09:15;42;male;111,030266;114,09677;30,04
03/10/2015;08:53;42;male;83,02453;84,82958;30,04
04/10/2015;01:37;23;male;91,67649;88,691666;32,65
03/10/2015;08:21;43;male;100,13435;96,19597;30,44
