"";"Animal No._NA";"VO2(3)_[ml/h]";"VCO2(3)_[ml/h]";"RER_NA";"Datetime";"LightC_[%]";"Box_NA.x";"Datetime2";"hour";"minutes";"MeasPoint";"diff.sec";"running_total.sec";"running_total.hrs";"running_total.hrs.round";"timeintervalinmin";"running_total.hrs.halfhour";"HP";"HP2";"Animals";"Box_NA.y";"Weight..g."
"4669";235;53;46;0,866;"10/03/2023 03:51";0;7;2023-03-10 03:51:00;3;51;791;1800;756000;210;210;0,833333333333333;210,833333333333;301,988064;300,95414;"235";"7";"21.5"
"4670";235;122;90;0,74;"01/03/2023 10:06";99;7;2023-03-01 10:06:00;10;6;2;900;900;0,2;0;0;0;669,50184;670,7804;"235";"7";"21.5"
"4671";235;37;36;0,973;"06/03/2023 12:36";99;7;2023-03-06 12:36:00;12;36;463;900;441900;122,8;122;0,5;122,5;217,425468;215,76143;"235";"7";"21.5"
"4672";235;43;35;0,795;"07/03/2023 10:06";99;7;2023-03-07 10:06:00;10;6;544;900;519300;144,2;144;0;144;239,91678;239,80455;"235";"7";"21.5"
"4673";235;55;53;0,969;"05/03/2023 17:06";99;7;2023-03-05 17:06:00;17;6;390;900;371700;103,2;103;0;103;322,83306;320,41185;"235";"7";"21.5"
"4674";235;86;86;0,995;"06/03/2023 02:06";0;7;2023-03-06 02:06:00;2;6;423;1800;404100;112,2;112;0;112;508,52316;504,2051;"235";"7";"21.5"
"4675";235;92;95;1,025;"01/03/2023 19:21";0;7;2023-03-01 19:21:00;19;21;37;900;34200;9,5;9;0,333333333333333;9,33333333333333;548,6052;543,329;"235";"7";"21.5"
"4676";235;62;57;0,922;"05/03/2023 15:21";99;7;2023-03-05 15:21:00;15;21;383;900;365400;101,5;101;0,333333333333333;101,333333333333;359,060352;357,02452;"235";"7";"21.5"
"4677";235;113;30;0,264;"06/03/2023 12:51";99;7;2023-03-06 12:51:00;12;51;464;900;442800;123;123;0,833333333333333;123,833333333333;530,393976;544,37976;"235";"7";"21.5"
"4678";235;41;34;0,836;"07/03/2023 10:21";99;7;2023-03-07 10:21:00;10;21;545;900;520200;144,5;144;0,333333333333333;144,333333333333;231,561768;231,05468;"235";"7";"21.5"
