timestep	day	time	daytime	7555	7543	7557	5066	7558	5068
89	day_1	09:03	day	0.43670554938836637	0.48978103140836743	0.4802894431897748	0.5214877799549544	0.3560942780719637	0.5360725699374017
90	day_1	09:18	day	0.35485164224199317	0.4562299883730376	0.41698271905731915	0.5111703993993924	0.34974904696926384	0.5380028264804331
91	day_1	09:33	day	0.3287055493883664	0.5520657464180472	0.4381442567087528	0.5261325471095756	0.36085149922413656	0.5590392935417111
92	day_1	09:48	day	0.4059932052868602	0.5584671578135083	0.4303370676901626	0.5775101763513083	0.3934416902046457	0.5578675099910575
93	day_1	10:03	day	0.4369479053360841	0.5371569988424935	0.4243403333439192	0.6361218598348329	0.38460354276986386	0.5309242393970108
94	day_1	10:18	day	0.47161834684338394	0.5459344397171443	0.39524463090782336	0.5300974197447418	0.401379293317837	0.5153958746940341
95	day_1	10:33	day	0.4153941110622944	0.5441934625852336	0.3508295951595659	0.5280240994744683	0.3974068124430274	0.5361657664046332
96	day_1	10:48	day	0.35505775785645455	0.5485949360257585	0.3998071890185902	0.5247559397147114	0.3691455041994	0.49880882106715596
97	day_2	11:03	day	0.3519524351448439	0.4797007987653263	0.38247012132842756	0.5120120497372341	0.3733934606536728	0.5671042510002986
98	day_2	11:18	day	0.4848561729823418	0.5444270414919877	0.3595060664213785	0.5042072298423405	0.37761989113568184	0.5486941311076099
99	day_2	11:33	day	0.5143522084680882	0.5186970841414821	0.33518766288148594	0.47512845972210105	0.37375422457570945	0.5380196467708557
100	day_2	11:48	day	0.41960249158113566	0.5026240946109379	0.4268678761340042	0.5310086435810054	0.46536730701198337	0.5568811396158925
101	day_2	12:03	day	0.3958527746941832	0.4438943233956237	0.41025816985979857	0.5784495870495148	0.4020555881874008	0.5476199658374143
102	day_2	12:18	day	0.37770668184055634	0.5010185110741573	0.3941386551735089	0.5432192795795747	0.3805144423043457	0.5100579605535928
103	day_2	12:33	day	0.3706206117477639	0.5721678945337707	0.37806535887838877	0.5319266797297266	0.3620942780719637	0.5749635329387219
104	day_2	12:48	day	0.40912457626201754	0.5343284839099808	0.3156479872486439	0.5129263391141037	0.3822694824265364	0.5594541994327812
105	day_2	13:03	day	0.5087270669115644	0.5392518418006562	0.3746199795724243	0.5289511198198177	0.3693934606536728	0.571711566971852
106	day_2	13:18	day	0.40908154028403254	0.50132117875242	0.37430438825096823	0.5184261688062922	0.35100218102998226	0.541189219414896
107	day_2	13:33	day	0.389976217572422	0.4640037766689081	0.36627731034701777	0.4795804310809759	0.3531365144700098	0.5558915785751398
108	day_2	13:48	day	0.36776330724482087	0.5232884916785878	0.43878104088690884	0.5684977859984514	0.36221008211619105	0.55375528232679
109	day_2	14:03	day	0.5450713482143228	0.6002044203215747	0.4204080281037953	0.5526705697072039	0.37158201679760017	0.6002573675390708
110	day_2	14:18	day	0.48724235594771775	0.51216058937621	0.3771713346127033	0.528414459684681	0.36159019098050915	0.5716472250870842
111	day_2	14:33	day	0.43956058898692946	0.4826715781350831	0.3947745095793958	0.5298777995495443	0.3002553150907006	0.5611892194148959
112	day_2	14:48	day	0.3841653454724451	0.46554020938911633	0.37639682503330746	0.5121452780780554	0.525541145883055	0.5406941311076099
113	day_2	15:03	day	0.3941642130202551	0.518178852270112	0.37740802810379537	0.5393390957206703	0.3494667626903927	0.5407274075033005
114	day_2	15:18	day	0.3827644396970108	0.541386925170467	0.3863435989976757	0.5832919186186023	0.4442694824265364	0.5736472250870842
115	day_2	15:33	day	0.46073159765191307	0.4976533152411811	0.4287586347459332	0.574438899774772	0.4151158040442273	0.7064798633496574
116	day_2	15:48	day	0.4967904870289688	0.48370804187782324	0.39024463090782335	0.5802557694068999	0.3881670301716637	0.5750792026572421
117	day_2	16:03	day	0.38949943377390506	0.4850949670482904	0.39207889783036404	0.5550478583333136	0.3305544976724097	0.5609749516569434
118	day_2	16:18	day	0.34905889030864445	0.5495001551126596	0.3846087765019365	0.5302681597597569	0.36094795832608245	0.5688811396158924
119	day_2	16:33	day	0.3588618352432916	0.6297153470353841	0.35235153641440703	0.5261459593093012	0.3594959129085455	0.5682050599463443
120	day_2	16:48	day	0.46022310332889954	0.5280474835241452	0.4561825376831911	0.5399366857732234	0.32164060156146435	0.5601216868645408
121	day_2	17:03	day	0.5619524351448439	0.5378795889903745	0.4009267037048799	0.5339511198198177	0.39281362488605487	0.5621930256543031
122	day_2	17:18	day	0.48551868639272316	0.5265986506496027	0.3988669463617351	0.5295118794294227	0.3763013636116913	0.5870900058016439
123	day_2	17:33	day	0.4094960364173351	0.5797919891447086	0.37181045467234675	0.5428409691065961	0.5427594021821551	0.5670370826350977
124	day_2	17:48	day	0.3681528884983554	0.5230074292476884	0.4977506973292019	0.5644007068693324	0.4850348777616183	0.5694912820678789
125	day_2	18:03	day	0.44438618389696466	0.6123613571190043	0.4385354802068164	0.5946705697072038	0.4283637604985001	0.5744564103393945
126	day_2	18:18	day	0.5689229904563161	0.5607774408746509	0.39791736017893037	0.5559604446320688	0.3250280690622104	0.6095825190171622
127	day_2	18:33	day	0.469116648165099	0.5641717952928065	0.4339187662881486	0.5996434046921296	0.44989373562218277	0.6269384845956655
128	day_2	18:48	day	0.4456534547244504	0.61443453278474	0.4424439731967462	0.6312282637762029	0.4865760236446734	0.6334237495175238
129	day_2	19:03	day	0.5466795020564084	0.6459673129261678	0.43006955430441446	0.6763508048422815	0.4602307925419736	0.6298075899195166
130	day_2	19:18	day	0.5423714610869064	0.6877007987653263	0.6509379067753678	0.7015841778528276	0.46693815305021114	0.6168811396158924
131	day_2	19:33	day	0.46061268458243415	0.6193031019937095	0.4672885134175056	0.6577783361110652	0.5016414171079455	0.6034738462036368
132	day_2	19:48	day	0.4754688566331872	0.5828030089261137	0.4917609706274206	0.642340117567539	0.41895395147900927	0.6871543476864116
133	day_2	20:03	day	0.5970781429274626	0.5374089647332772	0.4380933665546084	0.6244017287162011	0.35713951104647323	0.581210097333391
134	day_2	20:18	day	0.44093771326637443	0.6489088716656816	0.5614957931231598	0.593888146208664	0.5114081779265285	0.6008877723357328
135	day_2	20:33	day	0.5264020391592129	0.6230584412604864	0.5100494840449262	0.6955198417791825	0.4670207104257825	0.6267727181910323
136	day_2	20:48	day	0.5257893545767789	0.5456645832028415	0.5049500396181247	0.6136048711710671	0.42776239875861855	0.6715790769629094
