timestep	day	time	daytime	5058	7564	7566	7728
139	day_2	20:04	day	0.6072529408258027	0.545671428361371	0.5386321251102005	0.4620518297708293
140	day_2	20:19	day	0.571566517988742	0.5164367705972186	0.4422191924749719	0.4504238868025832
141	day_2	20:34	day	0.6380947844183783	0.48908006934149406	0.358518773367551	0.5992122928409291
142	day_2	20:49	day	0.6573438953315077	0.3559258592342822	0.43439272206766827	0.4568162246626517
143	day_2	21:04	day	0.6203235008423348	0.4890179437672103	0.3968061085555316	0.46846180726125963
144	day_2	21:19	day	0.549430944592018	0.462104856355255	0.4046066727954856	0.4399065194522854
145	day_2	21:34	day	0.6432413757552615	0.44994988961715027	0.4668923438571395	0.4853664615544406
146	day_2	21:49	day	0.6215108811575638	0.32090700079629764	0.4363519983641243	0.4391156265351336
147	day_2	22:04	day	0.6067404182770932	0.47903718052064137	0.3978724358580021	0.4281598413503983
148	day_2	22:19	day	0.6018864624835946	0.38304052312397596	0.3578162894814176	0.3973513088028847
149	day_2	22:34	day	0.657303106353162	0.5578337747013542	0.38303054277765797	0.4797839768408621
150	day_2	22:49	day	0.6442303578151023	0.4910222010413192	0.5014891382951622	0.44056259190468816
151	day_2	23:04	day	0.5954212944778136	0.5365262691577051	0.471539740356169	0.40134120696851416
152	day_2	23:19	day	0.6889002160756633	0.44718621868296987	0.47448959214779673	0.4496551398728505
153	day_2	23:34	day	0.6306271543258788	0.3623866602143689	0.407005090462943	0.42559639402573146
154	day_2	23:49	day	0.7044180116955221	0.532851340153118	0.38070893590698013	0.404428316000067
155	day_2	00:04	day	0.5987922251955982	0.5181061493414758	0.45510090155359084	0.3471264272487792
156	day_2	00:19	day	0.5743438953315076	0.5725477135681313	0.502519075935974	0.42600132059897644
157	day_2	00:34	day	0.5597919516304072	0.5131318510260111	0.4346464887937605	0.43878459856056357
158	day_2	00:49	day	0.5693447160270805	0.363325827626306	0.463687666349939	0.4122091070828482
159	day_2	01:04	day	0.6116196927332017	0.4663151054210928	0.48539211693082224	0.5429482473887441
160	day_2	01:19	day	0.581212425412648	0.5317254177028832	0.4486122171110632	0.4379362032356957
161	day_2	01:34	day	0.6186373515704652	0.5932265215313808	0.385	0.39432154785990103
162	day_2	01:49	day	0.6399586638912724	0.5811468305053333	0.363	0.4211377725225527
163	day_2	02:04	day	0.5851251025869466	0.6121507094639957	0.3326887253394197	0.4520954228663925
164	day_2	02:19	day	0.5572813440380344	0.5496821505665841	0.3364081447407088	0.46824135490463786
165	day_2	02:34	day	0.5426042977499874	0.4888679909341075	0.35624943268420683	0.4411996269681791
166	day_2	02:49	day	0.5411363940922969	0.4845575211025701	0.4343513932272782	0.38628743487900696
167	day_2	03:04	day	0.5725323699075004	0.4202992112709963	0.40650350197872204	0.48391413440785
168	day_2	03:19	day	0.5691049816629646	0.541517754609487	0.49021395072781737	0.5177322242296062
169	day_2	03:34	day	0.5798602477928904	0.3908783348238742	0.4402703996728249	0.43297793117215444
170	day_2	03:49	day	0.5759930855377049	0.606783286003058	0.37887243585800207	0.41389012326132657
171	day_2	04:04	day	0.6153653840814444	0.438875370535986	0.36967345395059065	0.4021257283695042
172	day_2	04:19	day	0.5861044345325828	0.41261113212863587	0.3716122171110632	0.39490714117198694
173	day_2	04:34	day	0.5708335613043257	0.36194342468604607	0.41018849841310234	0.38712192089172187
174	day_2	04:49	day	0.5617106472389067	0.44673317562020826	0.42719867933898836	0.3789121920891722
175	day_2	05:04	day	0.5479633144995185	0.49128347516078125	0.4516929080970935	0.5105641462039419
