20200508_SD_Ucpdd_K1;TX001;TX002;TX003;;;
;TSE LabMaster V6.3.3 (2017-3514);;;;;
Box;Animal No.; Weight [g];Genotype;Sex;Measurement;
04/11/2014;03:15;30314490;male;99,0;99,0;27,9
17/06/2014;17:16;30300777;male;88,0;88,0;27,5
20/05/2015;04:00;30332401;female;65,0;65,0;25,4
17/06/2014;18:31;30300777;male;61,0;61,0;27,5
23/03/2015;20:15;30327906;male;69,0;69,0;27,0
17/06/2014;11:16;30300777;male;84,0;84,0;27,5
19/05/2015;14:00;30332401;female;52,0;52,0;25,4
27/01/2015;05:15;30322409;female;93,0;93,0;22,7
03/11/2014;17:30;30314512;female;66,0;66,0;26,3
17/06/2014;13:16;30300777;male;72,0;72,0;27,5
18/06/2014;07:16;30300777;male;74,0;74,0;27,5
20/05/2015;00:00;30332410;female;66,0;66,0;26,8
17/06/2014;23:46;30300781;female;90,0;90,0;23,3
17/06/2014;16:31;30300777;male;64,0;64,0;27,5
19/05/2015;15:15;30332406;male;71,0;71,0;32,4
19/05/2015;16:15;30332410;female;83,0;83,0;26,8
17/06/2014;11:16;30300775;female;73,0;73,0;24,0
03/11/2014;20:30;30314490;male;115,0;115,0;27,9
19/05/2015;17:00;30332401;female;97,0;97,0;25,4
17/06/2014;19:16;30300777;male;86,0;86,0;27,5
17/06/2014;22:01;30300774;female;84,0;84,0;21,5
17/06/2014;15:31;30300781;female;56,0;56,0;23,3
23/03/2015;14:15;30327906;male;69,0;69,0;27,0
19/05/2015;23:30;30332401;female;50,0;50,0;25,4
20/05/2015;07:15;30332401;female;41,0;41,0;25,4
17/06/2014;22:46;30300781;female;95,0;95,0;23,3
19/05/2015;22:00;30332480;male;98,0;98,0;28,7
03/11/2014;19:45;30314490;male;123,0;123,0;27,9
17/06/2014;19:31;30300777;male;88,0;88,0;27,5
17/06/2014;18:31;30300781;female;65,0;65,0;23,3
03/11/2014;15:30;30314512;female;67,0;67,0;26,3
03/11/2014;15:15;30314490;male;52,0;52,0;27,9
18/06/2014;02:31;30300774;female;57,0;57,0;21,5
03/11/2014;12:15;30314490;male;82,0;82,0;27,9
23/03/2015;23:30;30327906;male;67,0;67,0;27,0
20/05/2015;00:45;30332410;female;41,0;41,0;26,8
18/06/2014;00:46;30300774;female;45,0;45,0;21,5
03/11/2014;13:45;30314512;female;57,0;57,0;26,3
17/06/2014;20:31;30300775;female;78,0;78,0;24,0
23/03/2015;12:30;30327906;male;78,0;78,0;27,0
19/05/2015;19:00;30332410;female;84,0;84,0;26,8
04/11/2014;08:45;30314498;male;38,0;38,0;30,9
03/11/2014;18:15;30314498;male;76,0;76,0;30,9
04/11/2014;06:30;30314490;male;60,0;60,0;27,9
23/03/2015;23:45;30327907;male;82,0;82,0;26,2
17/06/2014;19:46;30300777;male;83,0;83,0;27,5
17/06/2014;20:46;30300774;female;77,0;77,0;21,5
17/06/2014;14:46;30300777;male;47,0;47,0;27,5
04/11/2014;07:15;30314512;female;68,0;68,0;26,3
03/11/2014;12:30;30314490;male;71,0;71,0;27,9
18/06/2014;01:01;30300775;female;45,0;45,0;24,0
26/01/2015;15:00;30322409;female;63,0;63,0;22,7
04/11/2014;07:15;30314490;male;66,0;66,0;27,9
03/11/2014;22:30;30314490;male;107,0;107,0;27,9
04/11/2014;03:00;30314490;male;106,0;106,0;27,9
19/05/2015;13:15;30332406;male;55,0;55,0;32,4
