"";"Genotype";"Animal";"Time";"HP2.mean";"HP2.sd";"VO2.mean";"VO2.sd";"VCO2.mean";"VCO2.sd";"RER.mean";"RER.sd"
"124";"ko";2265;30;236,61215;55,5580653275174;42,5;9,54891712090005;33,25;9,13658977558218;0,781166666666667;0,0375713462708759
"125";"wt";2195;31;354,5816475;93,8604669420096;62,5;16,3401346383682;53,75;14,7162556996738;0,859416666666667;0,0199018424607707
"126";"wt";2262;31;339,0861975;78,284481827257;59,9166666666667;13,6011920154972;51,0833333333333;12,5514094343177;0,850083333333333;0,0189950152950875
"127";"ko";2263;31;394,508449166667;89,2828304482662;69,5833333333333;15,4711363708701;59,75;14,5109676389337;0,856833333333333;0,0328933077839505
"128";"ko";2265;31;299,361904166667;75,7171810473031;53,3333333333333;13,1863106242341;43,5833333333333;12,1015275770032;0,815833333333333;0,0378149401291301
"129";"wt";2195;32;411,364764166667;76,2392987214545;73,0833333333333;13,3720083031909;60,75;11,8944219164814;0,82975;0,0183259627057055
"130";"wt";2262;32;458,494156666667;65,4166151658808;81,5;11,4296265746683;67,5;10,1219832767371;0,827833333333333;0,0147699531194759
"131";"ko";2263;32;420,455920833333;86,6060874653532;74,3333333333333;15,2752523165195;63,1666666666667;13,0581450258125;0,850333333333333;0,0182872699554702
"132";"ko";2265;32;349,455611666667;71,6392036889733;62,25;12,6284311269165;50,8333333333333;10,9447649032713;0,819;0,0147401739227435
"133";"wt";2195;33;349,268795833333;39,6655261170765;62;6,82242292337953;51,75;6,74368391365378;0,833333333333333;0,0258749908505327
"134";"wt";2262;33;343,966349166667;55,0114630603056;61,25;9,45924271425957;50,5;9,14032026492806;0,819416666666667;0,0322728659834834
"135";"ko";2263;33;383,175215;61,3377256272166;67,25;10,7121426428143;59,1666666666667;9,83346173516579;0,879166666666667;0,013985923659382
"136";"ko";2265;33;356,375695833333;69,6670113500618;63,3333333333333;12,2721660926692;52,4166666666667;10,6383383300327;0,828666666666667;0,0140281103070898
"137";"wt";2195;34;458,411956666667;116,341773917591;81,3333333333333;20,5485382507473;68;17,6943750692391;0,835;0,023005928089793
"138";"wt";2262;34;343,221055833333;59,4800403462631;61,4166666666667;10,4225135106071;49,25;9,31396800509858;0,801416666666667;0,0312103081262158
"139";"ko";2263;34;383,239659166667;77,4094404210731;67,4166666666667;13,4533424933146;58,6666666666667;12,3091490979333;0,869166666666667;0,0180294372086487
"140";"ko";2265;34;384,422859166667;29,7627408112897;68,25;5,1720402163943;56,9166666666667;4,73782330790941;0,8335;0,0145133167689665
"141";"wt";2195;35;508,39536;111,424714002045;90,75;19,8362615612739;73,6666666666667;16,2443463358421;0,812166666666667;0,00502418393795687
"142";"wt";2262;35;395,6543625;88,3978546939591;70,3333333333333;15,5758165309579;58,3333333333333;13,4457383132307;0,82775;0,0164489568610955
"143";"ko";2263;35;416,5151475;71,6007606376659;73,0833333333333;12,5296617768567;64,4166666666667;11,2771557772447;0,88025;0,0120463121478582
"144";"ko";2265;35;327,748918333333;85,8411398982311;58,3333333333333;14,9077974309562;48,1666666666667;13,7035717529365;0,818416666666667;0,0267189355168112
"145";"wt";2195;36;407,661866666667;96,6214112089975;72,5;16,9678841023002;59,8333333333333;15,008078632604;0,8245;0,0208130204002643
"146";"wt";2262;36;387,6043275;76,7101377770606;69,3333333333333;13,4322091416208;55,8333333333333;11,6606044856044;0,80125;0,0222634025007205
"147";"ko";2263;36;448,091306666667;96,6821465997665;78,8333333333333;17,156145643277;68,5;14,4819637041139;0,871333333333333;0,0209125161884775
"148";"ko";2265;36;344,1367825;72,6425608956202;61,0833333333333;12,7952997999147;50,8333333333333;11,0686562651097;0,8335;0,0116735910187366
"149";"wt";2195;37;398,611646666667;115,254094074015;70,8333333333333;20,5197613548649;58,75;16,8960727012899;0,830833333333333;0,0112478954260409
"150";"wt";2262;37;386,311193333333;65,6973464898986;68,9166666666667;11,4451921889684;56,0833333333333;10,4399436896194;0,812666666666667;0,0225724423028424
"151";"ko";2263;37;389,176166666667;60,9342669326663;68,3333333333333;10,6543489484413;59,8333333333333;9,60902353693305;0,8775;0,0122511594998559
"152";"ko";2265;37;316,24394;39,3285713830904;56,1666666666667;6,75322594069387;46,75;6,53834841531101;0,830833333333333;0,02013966386527
"153";"wt";2195;38;335,128245833333;43,4262406251515;59,5833333333333;7,82139644975515;49,4166666666667;6,08213977498251;0,829;0,0143969693780576
"154";"wt";2262;38;357,2094425;82,2608954714572;63,75;14,429294697058;51,9166666666667;12,8236878352902;0,810833333333333;0,0198807048225767
"155";"ko";2263;38;368,690116666667;46,401848738849;65,0833333333333;8,0165548407749;55,9166666666667;7,45237403703537;0,8555;0,0123398836004529
"156";"ko";2265;38;328,357765833333;70,0812454756578;58,1666666666667;12,1792172709634;48,9166666666667;11,0573573477188;0,839583333333333;0,0227614440080882
"157";"wt";2195;39;398,6698;82,3665652836237;70,8333333333333;14,4085412379623;58,9166666666667;12,7240526229466;0,828666666666667;0,0161882860754499
"158";"wt";2262;39;392,989488333333;83,5679945793621;70;14,7955767345883;57,4166666666667;12,6380258335587;0,820083333333333;0,0157275573629874
"159";"ko";2263;39;412,836415833333;80,2457777514633;72,6666666666667;14,0927662510261;63;12,4169971483374;0,867833333333333;0,0165080329390013
"160";"ko";2265;39;298,414936666667;59,3834710051118;53;10,3747946310452;44;9,2834162990689;0,830333333333333;0,0149868629341187
"161";"wt";2195;40;367,520113333333;63,1899472174814;65,25;11,0381569607842;54,3333333333333;10,0121138748231;0,832416666666667;0,0157159926266979
"162";"wt";2262;40;348,317845833333;59,62853026255;62;10,4533596165409;51,1666666666667;9,3500931773027;0,822583333333333;0,0204292941778726
"163";"ko";2263;40;402,897344166667;82,1465329162844;70,9166666666667;14,2984953647917;61,5833333333333;12,8307750303241;0,866666666666667;0,0127517081446393
"164";"ko";2265;40;305,289975833333;71,8873620755125;54,0833333333333;12,4787698500171;45,6666666666667;11,4996706145187;0,839833333333333;0,021221058723196
"165";"wt";2195;41;357,4926075;74,1138619583602;63,5833333333333;13,0416001063264;52,5833333333333;11,3574831825728;0,825666666666667;0,0172907402088429
"166";"wt";2262;41;411,03037;65,2000324352115;73,1666666666667;11,4719684712808;60,4166666666667;9,9768671830329;0,822583333333333;0,0168817186400681
"167";"ko";2263;41;369,6212475;60,4056731064199;65,3333333333333;10,7562525861459;55,75;9,03654197738775;0,852083333333333;0,0119731391291533
"168";"ko";2265;41;322,238826666667;70,5398640605446;57,1666666666667;12,3570615316494;47,8333333333333;10,9696551146029;0,835;0,0186742408875775
"169";"wt";2195;42;419,336538333333;105,343814395206;74,6666666666667;18,5978167503282;61,4166666666667;15,9855521890199;0,820083333333333;0,0251376513451737
"170";"wt";2262;42;321,807274166667;46,7962195519054;57,5;8,27372621341469;46,6666666666667;7,2278921022954;0,80825;0,0261538281571308
"171";"ko";2263;42;361,943539166667;59,0749338442251;64;10,3308892515249;54,4166666666667;9,31722094084959;0,849;0,0142701213602535
