timestep	day	time	daytime	6722	6715
237	day_3	21:08	day	0.3054260947016847	0.22351597860332945
238	day_3	21:23	day	0.3632644796733548	0.1833934276528958
239	day_3	21:38	day	0.29320987347287947	0.1934994893083275
240	day_3	21:53	day	0.279416988912739	0.22964231862868878
241	day_3	22:08	day	0.19577220644579052	0.20400496626424772
242	day_3	22:23	day	0.2837995095460282	0.24085497210697182
243	day_3	22:38	day	0.309227530590847	0.18210826022809867
244	day_3	22:53	day	0.31737065681132354	0.1982187190288642
245	day_3	23:08	day	0.2560656383325552	0.24405003700391958
246	day_3	23:23	day	0.2831155601568764	0.22847473589007755
247	day_3	23:38	day	0.31325703726418075	0.2303165165610479
248	day_3	23:53	day	0.3011417543372663	0.21775110902420702
249	day_3	00:08	day	0.27344980807901653	0.19954122323750473
250	day_3	00:23	day	0.27391644158611483	0.17363246400318189
251	day_3	00:38	day	0.32791892238917286	0.2673824347895612
252	day_3	00:53	day	0.3073543858431657	0.25078681635429734
253	day_3	01:08	day	0.32562134631957856	0.17590114213297714
254	day_3	01:23	day	0.23789410009199322	0.23559728684051118
255	day_3	01:38	day	0.2251944341946075	0.2370109928633346
256	day_3	01:53	day	0.31211748650001053	0.16393518105782012
257	day_3	02:08	day	0.25935162781014576	0.10393468984189477
258	day_3	02:23	day	0.2173872050094433	0.17113851007801592
259	day_3	02:38	day	0.27373911004955104	0.19626375081704184
260	day_3	02:53	day	0.3029837290318422	0.2172994581471321
261	day_3	03:08	day	0.2428803099268934	0.19470387866336253
262	day_3	03:23	day	0.23466492038797399	0.21412584880943403
263	day_3	03:38	day	0.22198648706486215	0.21425495652637414
264	day_3	03:53	day	0.19232239836677398	0.22019726346961463
265	day_3	04:08	day	0.2510719860884809	0.20119396561061426
266	day_3	04:23	day	0.332076670464635	0.23775110902420704
267	day_3	04:38	day	0.26746359824411636	0.18628516742479714
268	day_3	04:53	day	0.27404440575828126	0.17944945230440798
269	day_3	05:08	day	0.24634446263093362	0.1319384789168205
270	day_3	05:23	day	0.2695893588431868	0.12628410708995796
271	day_3	05:38	day	0.3217357975566072	0.2224549487360753
272	day_3	05:53	day	0.2550628802995352	0.1610664873474272
273	day_3	06:08	day	0.22193739693042674	0.14122584491428458
274	day_3	06:23	day	0.18415830253538604	0.1855478189555055
275	day_3	06:38	day	0.20102730310023764	0.17189120960448173
276	day_3	06:53	day	0.16963541371464028	0.14117254900285892
277	day_3	07:08	day	0.2638502487936358	0.17620385918761539
278	day_3	07:23	day	0.19305460620047535	0.16100439714533385
279	day_3	07:38	day	0.16327854706841655	0.14289120960448173
280	day_3	07:53	day	0.19272807791747115	0.164085175215096
281	day_3	08:08	day	0.21655322718396536	0.22119946204228155
282	day_3	08:23	day	0.19379840062618042	0.1880576930567595
283	day_3	08:38	day	0.18543877594693672	0.15717197988394507
284	day_3	08:53	day	0.17717457350354388	0.08408407592876255
285	day_3	09:08	day	0.12807143162855703	0.1601186839725194
286	day_3	09:23	day	0.1910874253667529	0.12267199935969217
287	day_3	09:38	day	0.16937148850120937	0.15098684751549274
288	day_3	09:53	day	0.24454854280781124	0.2330241842993361
