timestep	day	time	daytime	7546	5052	7547	5053	7548	7540	7541
153	day_2	00:19	day	0.6163336198113282	0.5085535787356893	0.5783645660069011	0.5017974679878727	0.42667961557169487	0.4693093930832575	0.4591173355047691
154	day_2	00:34	day	0.618840734156382	0.4268103188243068	0.6266912749407237	0.5039495225772906	0.45058918280722315	0.3627894383396374	0.3868990129521919
155	day_2	00:49	day	0.682460169209889	0.4281464690528683	0.6261634324125095	0.5325016806502202	0.4942732046648968	0.4413559810900259	0.560223553181606
156	day_2	01:04	day	0.6806042896125883	0.4825797864566824	0.6405117219957877	0.47522752649372874	0.45795067410329315	0.3714261055450705	0.4655302056476971
157	day_2	01:19	day	0.76	0.4770246681105516	0.6277002538870639	0.4900626490238392	0.49132360362825317	0.3864177573956604	0.4238689203878015
158	day_2	01:34	day	0.6338077503389389	0.448495757485414	0.6790018373602538	0.48679746798787277	0.49755379505390346	0.41184687894063887	0.3842811339608552
159	day_2	01:49	day	0.5465758322323727	0.4015396878982282	0.6721705739985958	0.47829386245767924	0.4880770881640999	0.3863093930832575	0.377
160	day_2	02:04	day	0.5483542084402853	0.4391140685466215	0.6931149149240337	0.4393438514208823	0.45221601352044616	0.4594267787300834	0.40067437279745066
161	day_2	02:19	day	0.5799491204892059	0.5112875666409351	0.6740789991386733	0.5101038276863528	0.44688395110143403	0.35169943995593667	0.39766062869002117
162	day_2	02:34	day	0.638501346467803	0.42692284776048683	0.6308851110578324	0.42248357158933486	0.4477526512310145	0.42595591643805464	0.44054918038415536
163	day_2	02:49	day	0.6720623579484696	0.4838049130160178	0.6264129276041804	0.5087293699637844	0.41970034589617655	0.32622857766390784	0.425810683038678
164	day_2	03:04	day	0.7010505548215819	0.5023623579495546	0.6021005538062627	0.372323980299859	0.43700595887626204	0.45676924115112516	0.39966651588892443
165	day_2	03:19	day	0.7396297293679854	0.46028602703049365	0.5098798068319998	0.47304806408322964	0.45026474587413773	0.44264251091002016	0.4968558328502465
166	day_2	03:34	day	0.6973860081345316	0.4899683864707178	0.6152460283260921	0.4653779818428442	0.5058003105180566	0.3941850056570475	0.441324970632675
167	day_2	03:49	day	0.7378013904000895	0.4285952169045851	0.638448869371407	0.487544784192707	0.47734159427642064	0.35832175367744457	0.444324970632675
168	day_2	04:04	day	0.5574547260218504	0.4023014574783963	0.6400933862383104	0.5090804324450536	0.3821514366518858	0.3276094415722359	0.4243784077560307
169	day_2	04:19	day	0.5620457036951418	0.39890437243518884	0.6521167263024213	0.4077308063842514	0.4557567037357948	0.3734760328116028	0.391067611634046
170	day_2	04:34	day	0.598426268641635	0.4268666004641406	0.6523214047079899	0.5494497668070437	0.4778880036062144	0.38512522224115103	0.41700588719890325
171	day_2	04:49	day	0.6342119215392075	0.40567999850933045	0.6872872743191512	0.48081717628906057	0.48072238904912445	0.4330409059321093	0.3732721900791937
172	day_2	05:04	day	0.6043227334352512	0.5025504995148063	0.6654075454327497	0.46183688459024835	0.47264148814206114	0.46482350412229057	0.391
173	day_2	05:19	day	0.5793124391207727	0.4349452579706077	0.5653052322118314	0.3922238395536175	0.4513941393730756	0.4065516777113784	0.362
174	day_2	05:34	day	0.4878937145411839	0.3903230463680649	0.6069120738787188	0.5295284371919596	0.48428083015082357	0.33143178761972947	0.379
175	day_2	05:49	day	0.5902703451120478	0.4134055013854042	0.6556553071916311	0.39818794707151767	0.4305330647294219	0.32974519314776396	0.4269110135166117
176	day_2	06:04	day	0.5111586164651932	0.4632019637157375	0.6175476377811481	0.4845446213728717	0.5219991666951677	0.3285344698574733	0.3665075176586062
177	day_2	06:19	day	0.5631634675916333	0.4563800806413757	0.6184345082536361	0.4820015992403025	0.46804491961072814	0.377243604332846	0.41395419361855723
178	day_2	06:34	day	0.6159191542965811	0.49339629806624286	0.6419461523038255	0.45068995336140877	0.507663291533192	0.3871143696469179	0.4226499412653501
179	day_2	06:49	day	0.687623369429136	0.4078573628014916	0.6614416758215884	0.42350889171060724	0.4852102944060011	0.42657171326996257	0.44645779378788314
180	day_2	07:04	day	0.6458813193526978	0.39292366908093906	0.6432369974160198	0.3968690901322369	0.45507327542113657	0.3739091668013583	0.48318386016567977
181	day_2	07:19	day	0.5491589411544056	0.34037084297872666	0.6494739688501735	0.38548533364947274	0.4241598954426449	0.3409091668013583	0.41198516891943526
182	day_2	07:34	day	0.41333421187292657	0.40366768162579847	0.5963752264222985	0.4886271415177341	0.41289264965401007	0.3299091668013583	0.4011986912462445
183	day_2	07:49	day	0.5720932408919052	0.398495757485414	0.5393644620794368	0.45384585771077335	0.45289074328252843	0.331	0.36250948736822913
184	day_2	08:04	day	0.5987238870107013	0.3638072396034238	0.5667863686299573	0.42006809802408834	0.4702132738441322	0.3209091668013583	0.41633740160035576
185	day_2	08:19	day	0.5480142286901079	0.4779174762956854	0.6169659215748934	0.41872936996378435	0.48820648166303776	0.40657087845502154	0.46175135871641904
186	day_2	08:34	day	0.49596275711771515	0.43189359516209835	0.657736091726826	0.4046899533614087	0.42441486969755715	0.3786642160984863	0.3722080655311669
